"1b7c4b9d-c29e-fa62-52ae-1a32c5a69851","posttraumatic stress disorder","100"
"b04288ff-6e7d-179b-da48-dad3fd8e15c8","Urgent care clinic (procedure)","100"
"eb990577-b88e-b358-df1b-e7c75f3d9d0c","Telephone encounter (procedure)","100"
"6b428761-d52d-d6a8-3c31-1c4850851f16","Telemedicine consultation with patient","100"
"98f8adb4-ad92-770e-7f98-c015fd8d90b0","Stroke","100"
"d7cf6e32-25af-6065-60fa-65f6a2aa061d","Screening surveillance (regime/therapy)","100"
"5c504a86-1804-ed37-53ce-32f3d3318ad5","Prenatal visit","100"
"7fe0b674-eb79-d9c8-0c06-006305099257","Prenatal initial visit","100"
"0b1a13c8-9d86-0992-75e4-c90f93cc2ff4","Postoperative follow-up visit (procedure)","100"
"5337f949-6a4f-4129-f62f-21915a7494e6","Postnatal visit","100"
"7f8d3b75-80c0-88c7-d0ab-c0e959a1e1d3","Periodic reevaluation and management of healthy individual (procedure)","100"
"c25c227f-320f-ab04-b9d3-3f26d816ece9","Patient-initiated encounter","100"
"b11a774d-eb03-e4ee-c595-031a2d754dfc","Patient encounter procedure (procedure)","100"
"c98059da-320a-c0a6-fced-c8815f3e3f39","Patient encounter procedure","100"
"75c9fdc2-c676-2be6-7b76-6c5a0a1c15fd","Outpatient procedure","100"
"fa03ab26-73ae-7097-d802-f114934ee1bc","Office Visit","100"
"c6936ce2-f0c2-3222-85ce-ea88ca60f89a","Obstetric emergency hospital admission","100"
"2d09e2a8-186f-c45b-fc5c-f76bf311b47d","Non-urgent orthopedic admission","100"
"319f0c04-f074-af2d-4220-f735ca331179","Myocardial Infarction","100"
"a61b85b3-fe82-de3c-01d6-0c1dc3982384","Initial Psychiatric Interview with mental status evaluation","100"
"f66d9eec-333f-4a9c-8ad2-fbe72a6fb3bf","Hypertension follow-up encounter","100"
"585d4868-5b3f-eb9a-91a1-bf1b644564bb","Hospital admission for isolation (procedure)","100"
"7929bcef-0b8c-cbc9-83fd-dbaf57400f7d","Hospital admission","100"
"3b2b1356-0169-3f15-5311-99d2b76906ae","Gynecology service (qualifier value)","100"
"c3f4da61-e4b4-21d5-587a-fbc89943bc19","General examination of patient (procedure)","100"
"af332361-b958-a57b-8dcb-734437e7acad","Follow-up visit (procedure)","100"
"287894cd-ae3f-731d-d59b-906337ee1dc6","Follow-up encounter (procedure)","100"
"a9183b4f-2572-72ea-54c2-b3cd038b4be7","Follow-up encounter","100"
"82b2cdd6-354a-88ab-adbb-058090672d60","Encounter for symptom (procedure)","100"
"32297044-efcf-4ac9-e05f-ca93645c3a8b","Encounter for symptom","100"
"32c84703-2481-49cd-d571-3899d5820253","Encounter for problem (procedure)","100"
"2cfd4ddd-ad13-fe1e-528b-15051cea2ec3","Encounter for problem","100"
"4ad28a3a-2479-782b-f29c-d5b3f41a001e","Encounter for check up (procedure)","100"
"18da2319-019d-a754-af1d-92fee2936047","Encounter for Problem","100"
"17d162fa-fc25-b3c5-5e72-20287a55eaf1","Encounter for 'check-up'","100"
"b5cc2059-f2d4-5943-8c44-a04d0363b733","Encounter Inpatient","100"
"f43ecec4-8a88-f675-824a-e4c973a8bd2b","Emergency room admission (procedure)","100"
"5ac7064e-b7a5-4a24-daf7-84a0f7226c05","Emergency hospital admission for asthma","100"
"a03f1104-f733-a62d-2d6c-b8886c5f3cec","Emergency Room Admission","100"
"a0c5421c-dbc4-8a56-3e82-fdeacecb2c33","Emergency Encounter","100"
"3efc5773-4dcd-623b-de23-d7ec9c4cf2a8","Drug rehabilitation and detoxification","100"
"db5b105f-8d6c-c616-41a7-79f145fd75e1","Domiciliary or rest home patient evaluation and management","100"
"091ce9b5-7b79-6f98-c5c7-0e43c5b51605","Discussion about treatment (procedure)","100"
"053867c6-4c7b-bacb-4202-fe08b01e7bac","Death Certification","100"
"2a357aeb-1c5b-67d1-00fe-1b3c06c3b7bf","Consultation for treatment","100"
"5fda0de4-413c-ea7a-ed21-b72234d51fa2","Cardiac Arrest","100"
"2204cc7a-f271-d2ce-403e-279db254f635","Asthma follow-up","100"
"531ecb69-c2e1-2a23-4d67-d6bb51567da9","Allergic disorder initial assessment","100"
"f5540ae5-e2c1-0ca2-2146-415b010fb58a","Allergic disorder follow-up assessment","100"
"e8c29ad7-00c8-08df-fc3b-519f1ea793e0","Admission to surgical department","100"
"6a81d820-f2cc-246d-0822-218d110cabae","Admission to intensive care unit (procedure)","100"
"9078cc7d-26ca-b1a6-98c2-0dbe6a9b84d2","Admission to hospice (procedure)","100"
"e95a5435-52f0-8b3c-cecd-63cf751abe44","Administration of vaccine to produce active immunity (procedure)","100"
