"2011-01","259121.74"
"2011-02","305801.38"
"2011-03","327225.51"
"2011-04","386556.64"
"2011-05","417517.16"
"2011-06","417896.95999999996"
"2011-07","432557.26"
"2011-08","345853.09"
"2011-09","332587.06"
"2011-10","357506.27"
"2011-11","403491.63"
"2011-12","419822.03"
"2012-01","571961.21"
"2012-02","896648.25"
"2012-03","774439.41"
"2012-04","838527.28"
"2012-05","939852.7000000001"
"2012-06","798132.1"
"2012-07","674897.8099999999"
"2012-08","751769.66"
"2012-09","699203.59"
"2012-10","573613.34"
"2012-11","787529.05"
"2012-12","751739.7"
"2013-01","555610.3"
"2013-02","657501.11"
"2013-03","964026.08"
"2013-04","928707.89"
"2013-05","960528.36"
"2013-06","1006208.88"
"2013-07","782360.02"
"2013-08","1000342.89"
"2013-09","866117.13"
"2013-10","847149.92"
"2013-11","692253.09"
"2013-12","844467.2"
"2014-01","914919.05"
"2014-02","2488151.91"
"2014-03","1117733.43"
"2014-04","947210.11"
"2014-05","760704.34"
"2014-06","798447.22"
"2014-07","849760.66"
"2014-08","755825.57"
"2014-09","815250.59"
"2014-10","884869.61"
"2014-11","768926.76"
"2014-12","909862.92"
"2015-01","715600.77"
"2015-02","893551.64"
"2015-03","915687.35"
"2015-04","967845.18"
"2015-05","878592.01"
"2015-06","896447.3"
"2015-07","795326.52"
"2015-08","679327.23"
"2015-09","895341.84"
"2015-10","780332.36"
"2015-11","760745.43"
"2015-12","945855.26"
"2016-01","675452.83"
"2016-02","522337.28"
"2016-03","695950.58"
"2016-04","563843.97"
"2016-05","707314.45"
"2016-06","814693.01"
"2016-07","756949.12"
"2016-08","696092.58"
"2016-09","626837.05"
"2016-10","660717.49"
"2016-11","777658.49"
"2016-12","888854.27"
"2017-01","872936.65"
"2017-02","746772.92"
"2017-03","846805.7"
"2017-04","705079.19"
"2017-05","845800.39"
"2017-06","872018.66"
"2017-07","789013.13"
"2017-08","725541.15"
"2017-09","819845.44"
"2017-10","772885.64"
"2017-11","851693.9"
"2017-12","748501.7"
"2018-01","830350.31"
"2018-02","579232.13"
"2018-03","684182.55"
"2018-04","624596.21"
"2018-05","784057.89"
"2018-06","688147.4"
"2018-07","832648.62"
"2018-08","959739.29"
"2018-09","594135.68"
"2018-10","624257.04"
"2018-11","750306.12"
"2018-12","795165.13"
"2019-01","890661.04"
"2019-02","732454.73"
"2019-03","795486.28"
"2019-04","564497.47"
"2019-05","647836.18"
"2019-06","823866.57"
"2019-07","756402.74"
"2019-08","654129.32"
"2019-09","690033.8"
"2019-10","696356.76"
"2019-11","882538.42"
"2019-12","781075.47"
"2020-01","777268.64"
"2020-02","624904.99"
"2020-03","712733.63"
"2020-04","805051.66"
"2020-05","761940.1799999999"
"2020-06","788889.84"
"2020-07","842892.37"
"2020-08","1646407.05"
"2020-09","557146.12"
"2020-10","921083.0599999999"
"2020-11","832817.9299999999"
"2020-12","1022942.49"
"2021-01","1006919.14"
"2021-02","572134.91"
"2021-03","653010.67"
"2021-04","705456.87"
"2021-05","696942.93"
"2021-06","823315.13"
"2021-07","789054.98"
"2021-08","651178.67"
"2021-09","624164.25"
"2021-10","1029468.43"
"2021-11","828955.78"
"2021-12","796630.24"
"2022-01","691474.06"
"2022-02","0"
