"1922-03","2","2"
"1922-04","2","4"
"1922-05","2","6"
"1922-06","1","7"
"1922-08","1","8"
"1922-10","2","10"
"1922-12","2","12"
"1923-01","4","16"
"1923-02","3","19"
"1923-03","2","21"
"1923-04","1","22"
"1923-05","1","23"
"1923-06","1","24"
"1923-07","1","25"
"1923-08","1","26"
"1923-09","5","31"
"1923-10","2","33"
"1923-11","1","34"
"1923-12","1","35"
"1924-01","3","38"
"1924-02","1","39"
"1924-03","1","40"
"1924-04","1","41"
"1924-06","3","44"
"1924-07","2","46"
"1924-08","1","47"
"1924-09","1","48"
"1924-10","2","50"
"1924-11","1","51"
"1924-12","3","54"
"1925-01","3","57"
"1925-02","2","59"
"1925-03","1","60"
"1925-05","3","63"
"1925-06","2","65"
"1925-08","4","69"
"1925-11","9","78"
"1926-05","1","79"
"1926-07","4","83"
"1926-08","6","89"
"1926-09","2","91"
"1926-10","1","92"
"1926-11","4","96"
"1926-12","2","98"
"1927-02","4","102"
"1927-03","2","104"
"1927-04","8","112"
"1927-05","1","113"
"1927-06","2","115"
"1927-07","1","116"
"1927-09","3","119"
"1927-10","2","121"
"1927-11","2","123"
"1927-12","1","124"
"1928-01","3","127"
"1928-02","1","128"
"1928-03","5","133"
"1928-04","1","134"
"1928-05","1","135"
"1928-07","2","137"
"1928-08","2","139"
"1928-09","1","140"
"1928-11","4","144"
"1928-12","3","147"
"1929-01","6","153"
"1929-02","1","154"
"1929-04","1","155"
"1929-05","4","159"
"1929-06","4","163"
"1929-07","2","165"
"1929-08","2","167"
"1929-09","2","169"
"1929-10","4","173"
"1929-12","1","174"
"1930-01","1","175"
"1930-02","1","176"
"1930-03","1","177"
"1930-04","2","179"
"1930-05","2","181"
"1930-07","1","182"
"1930-08","1","183"
"1930-09","2","185"
"1930-10","3","188"
"1930-11","3","191"
"1930-12","2","193"
"1931-01","3","196"
"1931-02","4","200"
"1931-03","1","201"
"1931-04","2","203"
"1931-05","2","205"
"1931-06","2","207"
"1931-07","1","208"
"1931-08","1","209"
"1931-09","1","210"
"1931-10","1","211"
"1931-12","5","216"
"1932-01","1","217"
"1932-03","4","221"
"1932-05","1","222"
"1932-06","2","224"
"1932-07","2","226"
"1932-09","5","231"
"1932-10","3","234"
"1932-11","3","237"
"1933-01","2","239"
"1933-03","1","240"
"1933-05","5","245"
"1933-07","2","247"
"1933-08","5","252"
"1933-09","3","255"
"1933-10","1","256"
"1933-11","2","258"
"1933-12","2","260"
"1934-01","1","261"
"1934-03","1","262"
"1934-06","2","264"
"1934-07","1","265"
"1934-10","3","268"
"1934-12","1","269"
"1935-01","3","272"
"1935-02","4","276"
"1935-03","3","279"
"1935-04","3","282"
"1935-05","1","283"
"1935-06","4","287"
"1935-07","1","288"
"1935-08","1","289"
"1935-09","2","291"
"1935-10","3","294"
"1935-11","2","296"
"1936-01","4","300"
"1936-02","3","303"
"1936-04","1","304"
"1936-05","1","305"
"1936-06","4","309"
"1936-07","1","310"
"1936-10","1","311"
"1936-11","3","314"
"1937-01","1","315"
"1937-03","3","318"
"1937-08","1","319"
"1937-09","2","321"
"1937-10","1","322"
"1937-12","2","324"
"1938-01","1","325"
"1938-02","2","327"
"1938-03","1","328"
"1938-04","1","329"
"1938-07","3","332"
"1938-08","1","333"
"1938-10","2","335"
"1938-11","1","336"
"1939-03","1","337"
"1939-04","1","338"
"1939-05","2","340"
"1939-06","1","341"
"1939-07","2","343"
